y_true,y_pred,proba
0,0,0.0593076784204708
0,0,0.06130552455766318
0,0,0.06064175436915263
0,0,0.06321587725724816
0,0,0.06407437072422573
0,0,0.06031227460875749
0,0,0.0627022975813186
0,0,0.06003764201002941
0,0,0.06310373038538147
0,0,0.05890255040366457
0,0,0.0661292834561114
0,0,0.06214547257366393
0,0,0.0634363948736953
0,0,0.06060513049970091
0,0,0.06506103825101626
0,0,0.0662700917144405
0,0,0.08021822477218682
0,0,0.07662334179936903
0,0,0.0791245319519958
0,0,0.08072442566486392
0,0,0.07975275288004058
0,0,0.0757913346370549
0,0,0.07916143892186392
0,0,0.079612984067248
0,0,0.07686605232864967
0,0,0.07703585911510819
0,0,0.08059485408695295
0,0,0.08195834647983544
0,0,0.08184849994377175
0,0,0.07990913257816382
0,0,0.08201442905828879
0,0,0.08368405620602573
0,0,0.08269471893112416
0,0,0.08170982119732935
0,0,0.08276069795469268
0,0,0.08332984954989058
0,0,0.08248875180372851
0,0,0.08084921016782098
0,0,0.08266261853075135
0,0,0.08339502201262186
0,0,0.08210206926025827
0,0,0.08231089442547895
0,0,0.08327250658640709
0,0,0.08399014403466212
0,0,0.08287046362665271
0,0,0.08286893872601978
0,0,0.08351830504415722
0,0,0.0850636469188265
0,0,0.08101613890809045
0,0,0.07982833455943268
0,0,0.08257587993838908
0,0,0.08220114802624368
0,0,0.08173838194150276
0,0,0.08046316476292538
0,0,0.08161067110183276
0,0,0.08361158457234143
0,0,0.08163932855695843
0,0,0.08043182202886413
0,0,0.07994195959329212
0,0,0.0830179293828511
0,0,0.08780502991277797
0,0,0.08822787176728786
0,0,0.09448869317170555
0,0,0.09908557456020277
0,0,0.09277026914952483
0,0,0.10496663621739384
0,0,0.10568448730148153
0,0,0.14957256827523907
0,0,0.16140333331066303
0,0,0.16393437716215536
0,0,0.15664888001765478
0,0,0.15502214474279483
0,0,0.15606734818634027
0,0,0.1786132405246878
0,0,0.22281787501244374
0,0,0.23702161313458667
0,0,0.2401183458379042
0,0,0.22522246078410013
0,0,0.2154726333137028
0,0,0.24243725621639173
0,0,0.24393934818469343
0,0,0.24476424407965564
0,0,0.2549288923994372
0,0,0.24986157320959262
0,0,0.23536763494674007
0,0,0.23520204449396656
0,0,0.22846316294234448
0,0,0.23414647841239777
0,0,0.2513610990377284
0,0,0.24446682377504333
1,0,0.24317182260616965
1,0,0.26585125114673247
1,0,0.28661224396460183
