"Line#","Date","Solar Radiation (S-LIB 21559981:22047692-1),W/m²,21559981"
"227","25-06-21 01:45:00 -0500","1"
"228","25-06-21 01:50:00 -0500","1"
"229","25-06-21 01:55:00 -0500","1"
"230","25-06-21 02:00:00 -0500","1"
"231","25-06-21 02:05:00 -0500","1"
"232","25-06-21 02:10:00 -0500","1"
"233","25-06-21 02:15:00 -0500","1"
"234","25-06-21 02:20:00 -0500","1"
"235","25-06-21 02:25:00 -0500","1"
"236","25-06-21 02:30:00 -0500","1"
"237","25-06-21 02:35:00 -0500","1"
"238","25-06-21 02:40:00 -0500","1"
"239","25-06-21 02:45:00 -0500","1"
"240","25-06-21 02:50:00 -0500","1"
"241","25-06-21 02:55:00 -0500","1"
"242","25-06-21 03:00:00 -0500","1"
"243","25-06-21 03:05:00 -0500","1"
"244","25-06-21 03:10:00 -0500","1"
"245","25-06-21 03:15:00 -0500","1"
"246","25-06-21 03:20:00 -0500","1"
"247","25-06-21 03:25:00 -0500","1"
"248","25-06-21 03:30:00 -0500","1"
"249","25-06-21 03:35:00 -0500","1"
"250","25-06-21 03:40:00 -0500","1"
"251","25-06-21 03:45:00 -0500","1"
"252","25-06-21 03:50:00 -0500","1"
"253","25-06-21 03:55:00 -0500","1"
"254","25-06-21 04:00:00 -0500","1"
"255","25-06-21 04:05:00 -0500","1"
"256","25-06-21 04:10:00 -0500","1"
"257","25-06-21 04:15:00 -0500","1"
"258","25-06-21 04:20:00 -0500","1"
"259","25-06-21 04:25:00 -0500","1"
"260","25-06-21 04:30:00 -0500","1"
"261","25-06-21 04:35:00 -0500","1"
"262","25-06-21 04:40:00 -0500","1"
"263","25-06-21 04:45:00 -0500","1"
"264","25-06-21 04:50:00 -0500","1"
"265","25-06-21 04:55:00 -0500","1"
"266","25-06-21 05:00:00 -0500","1"
"267","25-06-21 05:05:00 -0500","1"
"268","25-06-21 05:10:00 -0500","1"
"269","25-06-21 05:15:00 -0500","1"
"270","25-06-21 05:20:00 -0500","1"
"271","25-06-21 05:25:00 -0500","1"
"272","25-06-21 05:30:00 -0500","1"
"273","25-06-21 05:35:00 -0500","1"
"274","25-06-21 05:40:00 -0500","1"
"275","25-06-21 05:45:00 -0500","1"
"276","25-06-21 05:50:00 -0500","1"
"277","25-06-21 05:55:00 -0500","1"
"278","25-06-21 06:00:00 -0500","1"
"279","25-06-21 06:05:00 -0500","2"
"280","25-06-21 06:10:00 -0500","4"
"281","25-06-21 06:15:00 -0500","6"
"282","25-06-21 06:20:00 -0500","8"
"283","25-06-21 06:25:00 -0500","11"
"284","25-06-21 06:30:00 -0500","12"
"285","25-06-21 06:35:00 -0500","14"
"286","25-06-21 06:40:00 -0500","67"
"287","25-06-21 06:45:00 -0500","91"
"288","25-06-21 06:50:00 -0500","107"
"289","25-06-21 06:55:00 -0500","131"
"290","25-06-21 07:00:00 -0500","151"
"291","25-06-21 07:05:00 -0500","164"
"292","25-06-21 07:10:00 -0500","207"
"293","25-06-21 07:15:00 -0500","221"
"294","25-06-21 07:20:00 -0500","233"
"295","25-06-21 07:25:00 -0500","249"
"296","25-06-21 07:30:00 -0500","264"
"297","25-06-21 07:35:00 -0500","279"
"298","25-06-21 07:40:00 -0500","294"
"299","25-06-21 07:45:00 -0500","309"
"300","25-06-21 07:50:00 -0500","324"
"301","25-06-21 07:55:00 -0500","339"
"302","25-06-21 08:00:00 -0500","352"
"303","25-06-21 08:05:00 -0500","369"
"304","25-06-21 08:10:00 -0500","382"
"305","25-06-21 08:15:00 -0500","394"
"306","25-06-21 08:20:00 -0500","411"
"307","25-06-21 08:25:00 -0500","424"
"308","25-06-21 08:30:00 -0500","438"
"309","25-06-21 08:35:00 -0500","452"
"310","25-06-21 08:40:00 -0500","466"
"311","25-06-21 08:45:00 -0500","478"
"312","25-06-21 08:50:00 -0500","493"
"313","25-06-21 08:55:00 -0500","504"
"314","25-06-21 09:00:00 -0500","517"
"315","25-06-21 09:05:00 -0500","529"
"316","25-06-21 09:10:00 -0500","541"
"317","25-06-21 09:15:00 -0500","552"
"318","25-06-21 09:20:00 -0500","562"
"319","25-06-21 09:25:00 -0500","573"
"320","25-06-21 09:30:00 -0500","582"
"321","25-06-21 09:35:00 -0500","594"
"322","25-06-21 09:40:00 -0500","604"
"323","25-06-21 09:45:00 -0500","616"
"324","25-06-21 09:50:00 -0500","622"
"325","25-06-21 09:55:00 -0500","631"
"326","25-06-21 10:00:00 -0500","639"
"327","25-06-21 10:05:00 -0500","648"
"328","25-06-21 10:10:00 -0500","653"
"329","25-06-21 10:15:00 -0500","659"
"330","25-06-21 10:20:00 -0500","664"
"331","25-06-21 10:25:00 -0500","672"
"332","25-06-21 10:30:00 -0500","677"
"333","25-06-21 10:35:00 -0500","682"
"334","25-06-21 10:40:00 -0500","686"
"335","25-06-21 10:45:00 -0500","689"
"336","25-06-21 10:50:00 -0500","697"
"337","25-06-21 10:55:00 -0500","701"
"338","25-06-21 11:00:00 -0500","703"
"339","25-06-21 11:05:00 -0500","704"
"340","25-06-21 11:10:00 -0500","708"
"341","25-06-21 11:15:00 -0500","708"
"342","25-06-21 11:20:00 -0500","712"
"343","25-06-21 11:25:00 -0500","708"
"344","25-06-21 11:30:00 -0500","708"
"345","25-06-21 11:35:00 -0500","708"
"346","25-06-21 11:40:00 -0500","709"
"347","25-06-21 11:45:00 -0500","708"
"348","25-06-21 11:50:00 -0500","708"
"349","25-06-21 11:55:00 -0500","708"
"350","25-06-21 12:00:00 -0500","704"
"351","25-06-21 12:05:00 -0500","701"
"352","25-06-21 12:10:00 -0500","697"
"353","25-06-21 12:15:00 -0500","696"
"354","25-06-21 12:20:00 -0500","689"
"355","25-06-21 12:25:00 -0500","686"
"356","25-06-21 12:30:00 -0500","682"
"357","25-06-21 12:35:00 -0500","677"
"358","25-06-21 12:40:00 -0500","671"
"359","25-06-21 12:45:00 -0500","663"
"360","25-06-21 12:50:00 -0500","657"
"361","25-06-21 12:55:00 -0500","653"
"362","25-06-21 13:00:00 -0500","646"
"363","25-06-21 13:05:00 -0500","638"
"364","25-06-21 13:10:00 -0500","629"
"365","25-06-21 13:15:00 -0500","622"
"366","25-06-21 13:20:00 -0500","614"
"367","25-06-21 13:25:00 -0500","606"
"368","25-06-21 13:30:00 -0500","597"
"369","25-06-21 13:35:00 -0500","587"
"370","25-06-21 13:40:00 -0500","578"
"371","25-06-21 13:45:00 -0500","568"
"372","25-06-21 13:50:00 -0500","557"
"373","25-06-21 13:55:00 -0500","543"
"374","25-06-21 14:00:00 -0500","531"
"375","25-06-21 14:05:00 -0500","519"
"376","25-06-21 14:10:00 -0500","507"
"377","25-06-21 14:15:00 -0500","494"
"378","25-06-21 14:20:00 -0500","482"
"379","25-06-21 14:25:00 -0500","469"
"380","25-06-21 14:30:00 -0500","457"
"381","25-06-21 14:35:00 -0500","443"
"382","25-06-21 14:40:00 -0500","428"
"383","25-06-21 14:45:00 -0500","413"
"384","25-06-21 14:50:00 -0500","399"
"385","25-06-21 14:55:00 -0500","384"
"386","25-06-21 15:00:00 -0500","369"
"387","25-06-21 15:05:00 -0500","354"
"388","25-06-21 15:10:00 -0500","339"
"389","25-06-21 15:15:00 -0500","324"
"390","25-06-21 15:20:00 -0500","309"
"391","25-06-21 15:25:00 -0500","293"
"392","25-06-21 15:30:00 -0500","277"
"393","25-06-21 15:35:00 -0500","261"
"394","25-06-21 15:40:00 -0500","246"
"395","25-06-21 15:45:00 -0500","231"
"396","25-06-21 15:50:00 -0500","214"
"397","25-06-21 15:55:00 -0500","198"
"398","25-06-21 16:00:00 -0500","183"
"399","25-06-21 16:05:00 -0500","168"
"400","25-06-21 16:10:00 -0500","153"
"401","25-06-21 16:15:00 -0500","139"
"402","25-06-21 16:20:00 -0500","124"
"403","25-06-21 16:25:00 -0500","107"
"404","25-06-21 16:30:00 -0500","87"
"405","25-06-21 16:35:00 -0500","68"
"406","25-06-21 16:40:00 -0500","51"
"407","25-06-21 16:45:00 -0500","36"
"408","25-06-21 16:50:00 -0500","22"
"409","25-06-21 16:55:00 -0500","14"
"410","25-06-21 17:00:00 -0500","12"
"411","25-06-21 17:05:00 -0500","12"
"412","25-06-21 17:10:00 -0500","9"
"413","25-06-21 17:15:00 -0500","8"
"414","25-06-21 17:20:00 -0500","6"
"415","25-06-21 17:25:00 -0500","3"
"416","25-06-21 17:30:00 -0500","2"
"417","25-06-21 17:35:00 -0500","1"
"418","25-06-21 17:40:00 -0500","1"
"419","25-06-21 17:45:00 -0500","1"
"420","25-06-21 17:50:00 -0500","1"
"421","25-06-21 17:55:00 -0500","1"
"422","25-06-21 18:00:00 -0500","1"
"423","25-06-21 18:05:00 -0500","1"
"424","25-06-21 18:10:00 -0500","1"
"425","25-06-21 18:15:00 -0500","1"
"426","25-06-21 18:20:00 -0500","1"
"427","25-06-21 18:25:00 -0500","1"
"428","25-06-21 18:30:00 -0500","1"
"429","25-06-21 18:35:00 -0500","1"
"430","25-06-21 18:40:00 -0500","1"
"431","25-06-21 18:45:00 -0500","1"
"432","25-06-21 18:50:00 -0500","1"
"433","25-06-21 18:55:00 -0500","1"
"434","25-06-21 19:00:00 -0500","1"
"435","25-06-21 19:05:00 -0500","1"
"436","25-06-21 19:10:00 -0500","1"
"437","25-06-21 19:15:00 -0500","1"
"438","25-06-21 19:20:00 -0500","1"
"439","25-06-21 19:25:00 -0500","1"
"440","25-06-21 19:30:00 -0500","1"
"441","25-06-21 19:35:00 -0500","1"
"442","25-06-21 19:40:00 -0500","1"
"443","25-06-21 19:45:00 -0500","1"
"444","25-06-21 19:50:00 -0500","1"
"445","25-06-21 19:55:00 -0500","1"
"446","25-06-21 20:00:00 -0500","1"
"447","25-06-21 20:05:00 -0500","1"
"448","25-06-21 20:10:00 -0500","1"
"449","25-06-21 20:15:00 -0500","1"
"450","25-06-21 20:20:00 -0500","1"
"451","25-06-21 20:25:00 -0500","1"
"452","25-06-21 20:30:00 -0500","1"
"453","25-06-21 20:35:00 -0500","1"
"454","25-06-21 20:40:00 -0500","1"
"455","25-06-21 20:45:00 -0500","1"
"456","25-06-21 20:50:00 -0500","1"
"457","25-06-21 20:55:00 -0500","1"
"458","25-06-21 21:00:00 -0500","1"
"459","25-06-21 21:05:00 -0500","1"
"460","25-06-21 21:10:00 -0500","1"
"461","25-06-21 21:15:00 -0500","1"
"462","25-06-21 21:20:00 -0500","1"
"463","25-06-21 21:25:00 -0500","1"
"464","25-06-21 21:30:00 -0500","1"
"465","25-06-21 21:35:00 -0500","1"
"466","25-06-21 21:40:00 -0500","1"
"467","25-06-21 21:45:00 -0500","1"
"468","25-06-21 21:50:00 -0500","1"
"469","25-06-21 21:55:00 -0500","1"
"470","25-06-21 22:00:00 -0500","1"
"471","25-06-21 22:05:00 -0500","1"
"472","25-06-21 22:10:00 -0500","1"
"473","25-06-21 22:15:00 -0500","1"
"474","25-06-21 22:20:00 -0500","1"
"475","25-06-21 22:25:00 -0500","1"
"476","25-06-21 22:30:00 -0500","1"
"477","25-06-21 22:35:00 -0500","1"
"478","25-06-21 22:40:00 -0500","1"
"479","25-06-21 22:45:00 -0500","1"
"480","25-06-21 22:50:00 -0500","1"
"481","25-06-21 22:55:00 -0500","1"
"482","25-06-21 23:00:00 -0500","1"
