Line#,Date,"Solar Radiation (S-LIB 21559981:22047692-1),W/m²,21559981","Temperature (S-THC 21559981:22071558-1),°C,21559981","RH (S-THC 21559981:22071558-2),%,21559981"
3186,25-07-01 06:45:00 -0500,102,-0.63,95.897
3187,25-07-01 06:50:00 -0500,122,2.18,96.519
3188,25-07-01 06:55:00 -0500,138,3.531,95.779
3189,25-07-01 07:00:00 -0500,153,7.713,91.38
3190,25-07-01 07:05:00 -0500,167,9.687,79.849
3191,25-07-01 07:10:00 -0500,189,8.593,54.958
3192,25-07-01 07:15:00 -0500,223,6.856,57.201
3193,25-07-01 07:20:00 -0500,241,6.941,58.044
3194,25-07-01 07:25:00 -0500,244,7.756,55.158
3195,25-07-01 07:30:00 -0500,259,10.48,51.237
3196,25-07-01 07:35:00 -0500,273,10.416,49.433
3197,25-07-01 07:40:00 -0500,287,12.711,46.191
3198,25-07-01 07:45:00 -0500,302,15.692,38.949
3199,25-07-01 07:50:00 -0500,316,17,37.099
3200,25-07-01 07:55:00 -0500,332,20.647,31.124
3201,25-07-01 08:00:00 -0500,347,19.059,33.346
3202,25-07-01 08:05:00 -0500,362,18.781,35.189
3203,25-07-01 08:10:00 -0500,376,22.577,29.88
3204,25-07-01 08:15:00 -0500,392,20.11,31.153
3205,25-07-01 08:20:00 -0500,407,16.936,36.229
3206,25-07-01 08:25:00 -0500,421,17.987,35.99
3207,25-07-01 08:30:00 -0500,434,18.33,37.089
3208,25-07-01 08:35:00 -0500,449,17.086,36.599
3209,25-07-01 08:40:00 -0500,464,18.523,34.554
3210,25-07-01 08:45:00 -0500,479,20.239,32.845
3211,25-07-01 08:50:00 -0500,493,23.885,27.248
3212,25-07-01 08:55:00 -0500,508,27.66,23.612
3213,25-07-01 09:00:00 -0500,524,27.253,23.751
3214,25-07-01 09:05:00 -0500,441,23.864,25.686
3215,25-07-01 09:10:00 -0500,552,20.582,29.963
3216,25-07-01 09:15:00 -0500,568,25.043,24.456
3217,25-07-01 09:20:00 -0500,588,25.086,25.068
3218,25-07-01 09:25:00 -0500,581,24.55,25.274
3219,25-07-01 09:30:00 -0500,537,26.416,22.902
3220,25-07-01 09:35:00 -0500,397,19.424,31.18
3221,25-07-01 09:40:00 -0500,503,24.915,25.22
3222,25-07-01 09:45:00 -0500,578,26.673,23.43
3223,25-07-01 09:50:00 -0500,599,25.258,25.191
3224,25-07-01 09:55:00 -0500,594,24.228,26.912
3225,25-07-01 10:00:00 -0500,554,26.545,23.316
3226,25-07-01 10:05:00 -0500,572,23.456,26.63
3227,25-07-01 10:10:00 -0500,533,20.175,30.369
3228,25-07-01 10:15:00 -0500,397,20.99,30.077
3229,25-07-01 10:20:00 -0500,691,25.966,24.625
3230,25-07-01 10:25:00 -0500,649,28.089,21.956
3231,25-07-01 10:30:00 -0500,474,24.185,26.671
3232,25-07-01 10:35:00 -0500,739,25.365,24.862
3233,25-07-01 10:40:00 -0500,803,30.555,19.867
3234,25-07-01 10:45:00 -0500,759,29.376,19.51
3235,25-07-01 10:50:00 -0500,781,28.089,20.984
3236,25-07-01 10:55:00 -0500,374,27.617,21.598
3237,25-07-01 11:00:00 -0500,462,21.569,25.293
3238,25-07-01 11:05:00 -0500,344,19.639,28.496
3239,25-07-01 11:10:00 -0500,603,22.126,27.156
3240,25-07-01 11:15:00 -0500,459,20.99,27.567
3241,25-07-01 11:20:00 -0500,519,19.896,29.221
3242,25-07-01 11:25:00 -0500,608,25.065,23.925
3243,25-07-01 11:30:00 -0500,458,28.454,20.027
3244,25-07-01 11:35:00 -0500,507,22.727,24.953
3245,25-07-01 11:40:00 -0500,461,22.405,25.644
3246,25-07-01 11:45:00 -0500,541,22.277,26.999
3247,25-07-01 11:50:00 -0500,719,23.199,23.699
3248,25-07-01 11:55:00 -0500,648,25.279,22.019
3249,25-07-01 12:00:00 -0500,568,27.081,21.694
3250,25-07-01 12:05:00 -0500,549,27.66,21.14
3251,25-07-01 12:10:00 -0500,648,24.185,22.551
3252,25-07-01 12:15:00 -0500,804,29.955,17.653
3253,25-07-01 12:20:00 -0500,711,27.274,19.457
3254,25-07-01 12:25:00 -0500,657,25.043,21.785
3255,25-07-01 12:30:00 -0500,349,19.059,26.665
3256,25-07-01 12:35:00 -0500,699,20.132,27.361
3257,25-07-01 12:40:00 -0500,784,23.799,21.044
3258,25-07-01 12:45:00 -0500,361,26.395,19.062
3259,25-07-01 12:50:00 -0500,373,21.74,23.049
3260,25-07-01 12:55:00 -0500,353,20.904,23.888
3261,25-07-01 13:00:00 -0500,329,19.167,27.668
3262,25-07-01 13:05:00 -0500,396,18.309,27.7
3263,25-07-01 13:10:00 -0500,359,20.089,25.287
3264,25-07-01 13:15:00 -0500,462,20.411,26.552
3265,25-07-01 13:20:00 -0500,391,24.1,20.162
3266,25-07-01 13:25:00 -0500,317,23.306,20.714
3267,25-07-01 13:30:00 -0500,409,23.242,21.497
3268,25-07-01 13:35:00 -0500,313,21.076,23.095
3269,25-07-01 13:40:00 -0500,318,20.196,23.868
3270,25-07-01 13:45:00 -0500,384,20.968,22.939
3271,25-07-01 13:50:00 -0500,348,22.663,22.721
3272,25-07-01 13:55:00 -0500,304,18.073,25.486
3273,25-07-01 14:00:00 -0500,552,19.681,25.985
3274,25-07-01 14:05:00 -0500,398,21.462,23.799
3275,25-07-01 14:10:00 -0500,477,18.33,26.332
3276,25-07-01 14:15:00 -0500,241,21.054,23.149
3277,25-07-01 14:20:00 -0500,244,16.593,27.555
3278,25-07-01 14:25:00 -0500,509,19.36,26.191
3279,25-07-01 14:30:00 -0500,226,19.81,25.083
3280,25-07-01 14:35:00 -0500,233,17.451,27.733
3281,25-07-01 14:40:00 -0500,272,18.716,26.084
3282,25-07-01 14:45:00 -0500,224,16.507,28.345
3283,25-07-01 14:50:00 -0500,204,17.429,27.784
3284,25-07-01 14:55:00 -0500,229,18.416,26.516
3285,25-07-01 15:00:00 -0500,236,17.365,28.066
3286,25-07-01 15:05:00 -0500,383,20.132,24.538
3287,25-07-01 15:10:00 -0500,393,23.156,22.147
3288,25-07-01 15:15:00 -0500,304,20.454,25.284
3289,25-07-01 15:20:00 -0500,321,21.719,23.197
3290,25-07-01 15:25:00 -0500,302,21.655,22.898
3291,25-07-01 15:30:00 -0500,177,20.046,23.058
3292,25-07-01 15:35:00 -0500,122,18.545,27.082
3293,25-07-01 15:40:00 -0500,112,14.62,33.875
3294,25-07-01 15:45:00 -0500,269,17.365,27.893
3295,25-07-01 15:50:00 -0500,207,21.869,22.838
3296,25-07-01 15:55:00 -0500,167,21.354,24.282
3297,25-07-01 16:00:00 -0500,126,16.014,30.489
3298,25-07-01 16:05:00 -0500,103,14.255,32.119
3299,25-07-01 16:10:00 -0500,96,13.955,33.158
3300,25-07-01 16:15:00 -0500,87,13.376,34.188
3301,25-07-01 16:20:00 -0500,87,13.161,36.283
3302,25-07-01 16:25:00 -0500,89,13.011,36.449
3303,25-07-01 16:30:00 -0500,88,12.904,36.681
3304,25-07-01 16:35:00 -0500,77,12.689,38.289
3305,25-07-01 16:40:00 -0500,64,12.475,40.269
3306,25-07-01 16:45:00 -0500,73,13.118,39.06
3307,25-07-01 16:50:00 -0500,71,17.751,28.963
3308,25-07-01 16:55:00 -0500,56,15.992,34.333
3309,25-07-01 17:00:00 -0500,64,13.569,37.144
3310,25-07-01 17:05:00 -0500,64,13.762,36.493
3311,25-07-01 17:10:00 -0500,31,11.488,43.015
3312,25-07-01 17:15:00 -0500,12,10.159,46.149
3313,25-07-01 17:20:00 -0500,6,9.429,47.262
3314,25-07-01 17:25:00 -0500,2,9.022,47.747
3315,25-07-01 17:30:00 -0500,1,8.829,45.632
3316,25-07-01 17:35:00 -0500,1,7.07,52.064
3317,25-07-01 17:40:00 -0500,1,7.242,48.571
3318,25-07-01 17:45:00 -0500,1,6.834,52.134
3319,25-07-01 17:50:00 -0500,1,5.869,55.213
3320,25-07-01 17:55:00 -0500,1,4.839,58.592
3321,25-07-01 18:00:00 -0500,1,4.475,60.647
3322,25-07-01 18:05:00 -0500,1,4.496,60.337
3323,25-07-01 18:10:00 -0500,1,4.604,59.324
3324,25-07-01 18:15:00 -0500,1,3.66,61.915
3325,25-07-01 18:20:00 -0500,1,3.467,62.969
3326,25-07-01 18:25:00 -0500,1,2.673,65.454
3327,25-07-01 18:30:00 -0500,1,3.638,64.282
3328,25-07-01 18:35:00 -0500,1,2.223,68.367
3329,25-07-01 18:40:00 -0500,1,2.587,68.6
3330,25-07-01 18:45:00 -0500,1,1.708,68.865
3331,25-07-01 18:50:00 -0500,1,0.657,73.791
3332,25-07-01 18:55:00 -0500,1,1.386,72.238
3333,25-07-01 19:00:00 -0500,1,2.373,68.644
3334,25-07-01 19:05:00 -0500,1,2.738,66.983
3335,25-07-01 19:10:00 -0500,1,3.145,65.51
3336,25-07-01 19:15:00 -0500,1,2.716,66.502
3337,25-07-01 19:20:00 -0500,1,1.794,69.982
3338,25-07-01 19:25:00 -0500,1,1.494,70.994
3339,25-07-01 19:30:00 -0500,1,1.258,72.297
3340,25-07-01 19:35:00 -0500,1,1.494,71.882
3341,25-07-01 19:40:00 -0500,1,1.901,70.587
3342,25-07-01 19:45:00 -0500,1,1.429,70.912
3343,25-07-01 19:50:00 -0500,1,0.421,75.485
3344,25-07-01 19:55:00 -0500,1,1.579,71.679
3345,25-07-01 20:00:00 -0500,1,1.708,70.745
3346,25-07-01 20:05:00 -0500,1,0.486,73.455
3347,25-07-01 20:10:00 -0500,1,0.292,76.109
3348,25-07-01 20:15:00 -0500,1,0.936,74.803
3349,25-07-01 20:20:00 -0500,1,0.764,75.674
3350,25-07-01 20:25:00 -0500,1,0.679,75.993
3351,25-07-01 20:30:00 -0500,1,0.464,77.945
3352,25-07-01 20:35:00 -0500,1,0.571,77.604
3353,25-07-01 20:40:00 -0500,1,0.807,76.992
3354,25-07-01 20:45:00 -0500,1,1.601,74.49
3355,25-07-01 20:50:00 -0500,1,2.223,72.267
3356,25-07-01 20:55:00 -0500,1,2.909,69.66
3357,25-07-01 21:00:00 -0500,1,2.266,71.066
3358,25-07-01 21:05:00 -0500,1,1.772,73.608
3359,25-07-01 21:10:00 -0500,1,0.228,76.475
3360,25-07-01 21:15:00 -0500,1,0.335,78.883
3361,25-07-01 21:20:00 -0500,1,-0.673,82.095
3362,25-07-01 21:25:00 -0500,1,-1.488,85.638
3363,25-07-01 21:30:00 -0500,1,-0.565,84.509
3364,25-07-01 21:35:00 -0500,1,-1.273,83.516
3365,25-07-01 21:40:00 -0500,1,-1.187,86.39
3366,25-07-01 21:45:00 -0500,1,-1.767,87.277
3367,25-07-01 21:50:00 -0500,1,-1.96,87.366
3368,25-07-01 21:55:00 -0500,1,-2.431,90.317
3369,25-07-01 22:00:00 -0500,1,-2.474,91.211
3370,25-07-01 22:05:00 -0500,1,-1.767,87.645
3371,25-07-01 22:10:00 -0500,1,-1.402,86.143
3372,25-07-01 22:15:00 -0500,1,-2.367,89.41
3373,25-07-01 22:20:00 -0500,1,-2.153,89.822
3374,25-07-01 22:25:00 -0500,1,-1.616,86.188
3375,25-07-01 22:30:00 -0500,1,-2.453,90.9
3376,25-07-01 22:35:00 -0500,1,-1.96,91.159
3377,25-07-01 22:40:00 -0500,1,-2.71,90.68
3378,25-07-01 22:45:00 -0500,1,-2.346,91.347
3379,25-07-01 22:50:00 -0500,1,-2.667,91.983
3380,25-07-01 22:55:00 -0500,1,-2.388,91.626
3381,25-07-01 23:00:00 -0500,1,-2.667,90.239
3382,25-07-01 23:05:00 -0500,1,-3.675,93.353
3383,25-07-01 23:10:00 -0500,1,-4.019,94.704
3384,25-07-01 23:15:00 -0500,1,-4.04,95.935
3385,25-07-01 23:20:00 -0500,1,-2.817,93.111
3386,25-07-01 23:25:00 -0500,1,-3.053,93.832
3387,25-07-01 23:30:00 -0500,1,-2.882,93.841
3388,25-07-01 23:35:00 -0500,1,-2.346,91.115
3389,25-07-01 23:40:00 -0500,1,-1.96,89.49
3390,25-07-01 23:45:00 -0500,1,-1.831,88.922
3391,25-07-01 23:50:00 -0500,1,-1.402,87.004
3392,25-07-01 23:55:00 -0500,1,-1.638,88.061
3393,25-07-02 00:00:00 -0500,1,-2.067,86.729
3394,25-07-02 00:05:00 -0500,1,-3.032,91.215
3395,25-07-02 00:10:00 -0500,1,-2.882,91.38
3396,25-07-02 00:15:00 -0500,1,-3.204,89.966
3397,25-07-02 00:20:00 -0500,1,-3.504,92.927
3398,25-07-02 00:25:00 -0500,1,-3.718,94.643
3399,25-07-02 00:30:00 -0500,1,-4.147,92.937
3400,25-07-02 00:35:00 -0500,1,-3.868,95.311
3401,25-07-02 00:40:00 -0500,1,-4.469,94.987
3402,25-07-02 00:45:00 -0500,1,-4.169,96.693
3403,25-07-02 00:50:00 -0500,1,-3.976,94.113
3404,25-07-02 00:55:00 -0500,1,-4.061,94.029
3405,25-07-02 01:00:00 -0500,1,-4.769,94.85
3406,25-07-02 01:05:00 -0500,1,-4.641,95.747
3407,25-07-02 01:10:00 -0500,1,-5.456,97.632
3408,25-07-02 01:15:00 -0500,1,-4.683,98.575
3409,25-07-02 01:20:00 -0500,1,-5.391,98.425
3410,25-07-02 01:25:00 -0500,1,-5.305,98.329
3411,25-07-02 01:30:00 -0500,1,-4.812,98.593
3412,25-07-02 01:35:00 -0500,1,-4.426,98.085
3413,25-07-02 01:40:00 -0500,1,-4.919,97.865
3414,25-07-02 01:45:00 -0500,1,-4.726,98.407
3415,25-07-02 01:50:00 -0500,1,-5.155,99.464
3416,25-07-02 01:55:00 -0500,1,-4.984,99.76
3417,25-07-02 02:00:00 -0500,1,-4.984,99.648
3418,25-07-02 02:05:00 -0500,1,-5.434,99.902
3419,25-07-02 02:10:00 -0500,1,-5.734,100
3420,25-07-02 02:15:00 -0500,1,-5.713,100
3421,25-07-02 02:20:00 -0500,1,-5.198,100
3422,25-07-02 02:25:00 -0500,1,-4.748,100
3423,25-07-02 02:30:00 -0500,1,-4.855,99.44
3424,25-07-02 02:35:00 -0500,1,-5.048,99.088
3425,25-07-02 02:40:00 -0500,1,-5.177,99.263
3426,25-07-02 02:45:00 -0500,1,-4.898,98.288
3427,25-07-02 02:50:00 -0500,1,-5.198,95.949
3428,25-07-02 02:55:00 -0500,1,-4.533,96.593
3429,25-07-02 03:00:00 -0500,1,-3.933,95.514
3430,25-07-02 03:05:00 -0500,1,-3.439,92.409
3431,25-07-02 03:10:00 -0500,1,-3.032,90.28
3432,25-07-02 03:15:00 -0500,1,-3.246,91.064
3433,25-07-02 03:20:00 -0500,1,-2.882,89.653
3434,25-07-02 03:25:00 -0500,1,-4.705,89.95
3435,25-07-02 03:30:00 -0500,1,-4.962,96.031
3436,25-07-02 03:35:00 -0500,1,-4.598,94.781
3437,25-07-02 03:40:00 -0500,1,-4.791,95.178
3438,25-07-02 03:45:00 -0500,1,-6.099,96.997
3439,25-07-02 03:50:00 -0500,1,-6.313,99.829
3440,25-07-02 03:55:00 -0500,1,-6.056,100
3441,25-07-02 04:00:00 -0500,1,-6.721,100
3442,25-07-02 04:05:00 -0500,1,-6.228,100
3443,25-07-02 04:10:00 -0500,1,-6.035,100
3444,25-07-02 04:15:00 -0500,1,-5.97,100
3445,25-07-02 04:20:00 -0500,1,-5.52,100
3446,25-07-02 04:25:00 -0500,1,-4.405,99.5
3447,25-07-02 04:30:00 -0500,1,-4.533,96.533
3448,25-07-02 04:35:00 -0500,1,-5.691,98.698
3449,25-07-02 04:40:00 -0500,1,-5.777,97.765
3450,25-07-02 04:45:00 -0500,1,-6.035,97.147
3451,25-07-02 04:50:00 -0500,1,-5.906,99.463
3452,25-07-02 04:55:00 -0500,1,-6.228,98.888
3453,25-07-02 05:00:00 -0500,1,-7.021,99.866
3454,25-07-02 05:05:00 -0500,1,-7.493,100
3455,25-07-02 05:10:00 -0500,1,-7.429,100
3456,25-07-02 05:15:00 -0500,1,-6.764,100
3457,25-07-02 05:20:00 -0500,1,-6.764,100
3458,25-07-02 05:25:00 -0500,1,-6.571,100
3459,25-07-02 05:30:00 -0500,1,-6.85,99.643
3460,25-07-02 05:35:00 -0500,1,-7.943,96.823
3461,25-07-02 05:40:00 -0500,1,-7.45,97.229
3462,25-07-02 05:45:00 -0500,1,-7.836,96.785
3463,25-07-02 05:50:00 -0500,1,-7.107,97.253
3464,25-07-02 05:55:00 -0500,1,-6.292,97.839
3465,25-07-02 06:00:00 -0500,1,-5.992,97.29
3466,25-07-02 06:05:00 -0500,1,-6.935,96.791
3467,25-07-02 06:10:00 -0500,2,-7.429,97.13
3468,25-07-02 06:15:00 -0500,4,-7.193,97.894
3469,25-07-02 06:20:00 -0500,9,-6.549,99.271
3470,25-07-02 06:25:00 -0500,18,-6.614,97.336
3471,25-07-02 06:30:00 -0500,27,-6.464,97.824
3472,25-07-02 06:35:00 -0500,34,-5.906,99.057
3473,25-07-02 06:40:00 -0500,39,-5.97,97.102
3474,25-07-02 06:45:00 -0500,43,-6.013,97.258
3475,25-07-02 06:50:00 -0500,129,-2.603,95.541
3476,25-07-02 06:55:00 -0500,166,2.459,93.642
3477,25-07-02 07:00:00 -0500,168,6.791,55.373
3478,25-07-02 07:05:00 -0500,197,10.459,42.301
3479,25-07-02 07:10:00 -0500,254,16.464,32.218
3480,25-07-02 07:15:00 -0500,287,20.046,28.022
3481,25-07-02 07:20:00 -0500,307,20.668,26.52
3482,25-07-02 07:25:00 -0500,321,20.689,27.196
3483,25-07-02 07:30:00 -0500,328,23.864,24.79
3484,25-07-02 07:35:00 -0500,329,21.612,28.341
3485,25-07-02 07:40:00 -0500,333,20.089,28.098
3486,25-07-02 07:45:00 -0500,332,14.512,37.044
3487,25-07-02 07:50:00 -0500,331,12.432,43.23
3488,25-07-02 07:55:00 -0500,339,12.711,42.127
3489,25-07-02 08:00:00 -0500,334,14.941,35.836
3490,25-07-02 08:05:00 -0500,298,12.84,41.755
3491,25-07-02 08:10:00 -0500,378,15.22,36.5
3492,25-07-02 08:15:00 -0500,394,20.689,28.26
3493,25-07-02 08:20:00 -0500,407,22.126,25.843
3494,25-07-02 08:25:00 -0500,421,18.523,30.739
3495,25-07-02 08:30:00 -0500,436,19.617,30.03
3496,25-07-02 08:35:00 -0500,449,18.073,30.794
3497,25-07-02 08:40:00 -0500,464,18.609,29.454
3498,25-07-02 08:45:00 -0500,478,19.66,26.3
3499,25-07-02 08:50:00 -0500,494,21.612,24.866
3500,25-07-02 08:55:00 -0500,498,19.403,27.161
3501,25-07-02 09:00:00 -0500,347,20.711,27.228
3502,25-07-02 09:05:00 -0500,536,18.416,28.931
3503,25-07-02 09:10:00 -0500,542,22.341,26.781
3504,25-07-02 09:15:00 -0500,551,22.084,24.656
3505,25-07-02 09:20:00 -0500,563,20.132,26.995
3506,25-07-02 09:25:00 -0500,574,22.191,24.45
3507,25-07-02 09:30:00 -0500,583,25,22.467
3508,25-07-02 09:35:00 -0500,593,24.271,22.377
3509,25-07-02 09:40:00 -0500,603,27.381,19.782
3510,25-07-02 09:45:00 -0500,613,23.392,23.439
3511,25-07-02 09:50:00 -0500,621,20.411,26.571
3512,25-07-02 09:55:00 -0500,631,20.303,27.045
3513,25-07-02 10:00:00 -0500,638,20.625,29.224
3514,25-07-02 10:05:00 -0500,644,23.113,26.665
3515,25-07-02 10:10:00 -0500,653,21.719,25.196
3516,25-07-02 10:15:00 -0500,659,23.177,24.657
3517,25-07-02 10:20:00 -0500,666,25.494,23.49
3518,25-07-02 10:25:00 -0500,673,22.298,24.753
3519,25-07-02 10:30:00 -0500,679,24.1,23.987
3520,25-07-02 10:35:00 -0500,684,25.065,24.202
3521,25-07-02 10:40:00 -0500,691,21.869,24.758
3522,25-07-02 10:45:00 -0500,699,28.432,20.624
3523,25-07-02 10:50:00 -0500,713,22.641,25.499
3524,25-07-02 10:55:00 -0500,717,23.199,23.691
3525,25-07-02 11:00:00 -0500,729,26.009,23.818
3526,25-07-02 11:05:00 -0500,751,24.979,22.634
3527,25-07-02 11:10:00 -0500,152,17.58,30.072
3528,25-07-02 11:15:00 -0500,841,22.255,26.822
3529,25-07-02 11:20:00 -0500,794,19.124,29.088
3530,25-07-02 11:25:00 -0500,881,28.175,22.565
3531,25-07-02 11:30:00 -0500,732,27.488,21.709
3532,25-07-02 11:35:00 -0500,186,20.561,27.379
3533,25-07-02 11:40:00 -0500,321,17.794,32.831
3534,25-07-02 11:45:00 -0500,181,16.314,33.307
3535,25-07-02 11:50:00 -0500,821,22.341,27.07
3536,25-07-02 11:55:00 -0500,779,22.319,26.223
3537,25-07-02 12:00:00 -0500,108,21.097,26.152
3538,25-07-02 12:05:00 -0500,686,16.764,34.154
3539,25-07-02 12:10:00 -0500,267,23.757,24.533
3540,25-07-02 12:15:00 -0500,291,19.424,27.805
3541,25-07-02 12:20:00 -0500,762,23.842,23.278
3542,25-07-02 12:25:00 -0500,792,24.014,22.934
3543,25-07-02 12:30:00 -0500,802,27.36,19.832
3544,25-07-02 12:35:00 -0500,837,24.529,24.689
3545,25-07-02 12:40:00 -0500,851,24.765,25.438
3546,25-07-02 12:45:00 -0500,896,28.411,21.837
3547,25-07-02 12:50:00 -0500,268,29.505,18.975
3548,25-07-02 12:55:00 -0500,711,20.604,27.013
3549,25-07-02 13:00:00 -0500,877,28.904,18.944
3550,25-07-02 13:05:00 -0500,261,29.462,18.43
3551,25-07-02 13:10:00 -0500,174,19.66,26.328
3552,25-07-02 13:15:00 -0500,198,16.829,31.998
3553,25-07-02 13:20:00 -0500,213,15.971,34.218
3554,25-07-02 13:25:00 -0500,201,15.842,34.873
3555,25-07-02 13:30:00 -0500,207,14.877,35.506
3556,25-07-02 13:35:00 -0500,227,15.606,34.957
3557,25-07-02 13:40:00 -0500,211,15.456,33.959
3558,25-07-02 13:45:00 -0500,203,16.743,32.27
3559,25-07-02 13:50:00 -0500,237,18.18,30.791
3560,25-07-02 13:55:00 -0500,237,17.451,31.124
3561,25-07-02 14:00:00 -0500,203,17.515,30.86
3562,25-07-02 14:05:00 -0500,227,17.858,30.352
3563,25-07-02 14:10:00 -0500,229,18.652,29.038
3564,25-07-02 14:15:00 -0500,298,18.008,30.745
3565,25-07-02 14:20:00 -0500,609,22.92,23.63
3566,25-07-02 14:25:00 -0500,569,28.925,18.091
3567,25-07-02 14:30:00 -0500,251,23.027,22.6
3568,25-07-02 14:35:00 -0500,239,21.805,25.655
3569,25-07-02 14:40:00 -0500,249,17.966,28.608
3570,25-07-02 14:45:00 -0500,423,20.325,28.391
3571,25-07-02 14:50:00 -0500,526,22.984,24.291
3572,25-07-02 14:55:00 -0500,317,22.084,24.55
3573,25-07-02 15:00:00 -0500,259,18.244,28.835
3574,25-07-02 15:05:00 -0500,296,17.108,30.661
3575,25-07-02 15:10:00 -0500,281,19.874,26.56
3576,25-07-02 15:15:00 -0500,292,22.77,24.253
3577,25-07-02 15:20:00 -0500,221,20.475,26.223
3578,25-07-02 15:25:00 -0500,253,21.44,25.87
3579,25-07-02 15:30:00 -0500,124,16.915,29.572
3580,25-07-02 15:35:00 -0500,164,15.585,33.062
3581,25-07-02 15:40:00 -0500,199,18.051,29.183
3582,25-07-02 15:45:00 -0500,133,18.566,27.933
3583,25-07-02 15:50:00 -0500,119,15.778,32.013
3584,25-07-02 15:55:00 -0500,99,14.212,35.23
3585,25-07-02 16:00:00 -0500,87,13.419,37.76
3586,25-07-02 16:05:00 -0500,74,12.861,38.482
3587,25-07-02 16:10:00 -0500,68,12.432,38.689
3588,25-07-02 16:15:00 -0500,64,12.239,40.024
3589,25-07-02 16:20:00 -0500,56,11.939,41.494
3590,25-07-02 16:25:00 -0500,46,11.617,41.869
3591,25-07-02 16:30:00 -0500,39,11.295,42.849
3592,25-07-02 16:35:00 -0500,34,11.338,41.07
3593,25-07-02 16:40:00 -0500,28,11.445,40.218
3594,25-07-02 16:45:00 -0500,24,11.338,40.523
3595,25-07-02 16:50:00 -0500,23,11.209,40.905
3596,25-07-02 16:55:00 -0500,21,10.866,42.072
3597,25-07-02 17:00:00 -0500,17,10.287,44.373
3598,25-07-02 17:05:00 -0500,8,9.966,45.963
3599,25-07-02 17:10:00 -0500,4,9.472,47.921
3600,25-07-02 17:15:00 -0500,2,9.172,49.999
3601,25-07-02 17:20:00 -0500,1,9.279,49.523
3602,25-07-02 17:25:00 -0500,1,9.558,48.023
3603,25-07-02 17:30:00 -0500,1,9.193,50.205
3604,25-07-02 17:35:00 -0500,1,9.279,49.744
3605,25-07-02 17:40:00 -0500,1,8.829,51.702
3606,25-07-02 17:45:00 -0500,1,8.507,53.155
3607,25-07-02 17:50:00 -0500,1,8.335,54.316
3608,25-07-02 17:55:00 -0500,1,7.992,55.726
3609,25-07-02 18:00:00 -0500,1,7.928,56.449
3610,25-07-02 18:05:00 -0500,1,7.928,57.639
3611,25-07-02 18:10:00 -0500,1,7.992,56.202
3612,25-07-02 18:15:00 -0500,1,7.799,58.395
3613,25-07-02 18:20:00 -0500,1,7.606,59.971
3614,25-07-02 18:25:00 -0500,1,7.306,61.559
3615,25-07-02 18:30:00 -0500,1,6.298,79.536
3616,25-07-02 18:35:00 -0500,1,6.62,66.082
3617,25-07-02 18:40:00 -0500,1,6.319,70.065
3618,25-07-02 18:45:00 -0500,1,6.169,72.338
3619,25-07-02 18:50:00 -0500,1,5.998,71.551
3620,25-07-02 18:55:00 -0500,1,6.041,71.702
3621,25-07-02 19:00:00 -0500,1,6.083,71.322
3622,25-07-02 19:05:00 -0500,1,6.062,71.72
3623,25-07-02 19:10:00 -0500,1,5.268,81.918
3624,25-07-02 19:15:00 -0500,1,5.268,83.502
3625,25-07-02 19:20:00 -0500,1,3.617,95.94
3626,25-07-02 19:25:00 -0500,1,3.531,98
3627,25-07-02 19:30:00 -0500,1,3.638,97.906
3628,25-07-02 19:35:00 -0500,1,3.724,97.455
3629,25-07-02 19:40:00 -0500,1,3.96,95.642
3630,25-07-02 19:45:00 -0500,1,3.917,92.866
3631,25-07-02 19:50:00 -0500,1,3.96,90.065
3632,25-07-02 19:55:00 -0500,1,3.746,91.156
3633,25-07-02 20:00:00 -0500,1,3.638,90.547
3634,25-07-02 20:05:00 -0500,1,3.574,90.446
3635,25-07-02 20:10:00 -0500,1,3.51,90.335
3636,25-07-02 20:15:00 -0500,1,3.445,89.975
3637,25-07-02 20:20:00 -0500,1,3.424,90.556
3638,25-07-02 20:25:00 -0500,1,3.574,89.545
3639,25-07-02 20:30:00 -0500,1,3.853,88.087
3640,25-07-02 20:35:00 -0500,1,3.853,88.76
3641,25-07-02 20:40:00 -0500,1,3.789,90.381
3642,25-07-02 20:45:00 -0500,1,3.638,91.092
3643,25-07-02 20:50:00 -0500,1,3.553,91.724
3644,25-07-02 20:55:00 -0500,1,3.51,93.709
3645,25-07-02 21:00:00 -0500,1,2.973,96.464
3646,25-07-02 21:05:00 -0500,1,2.845,98.199
3647,25-07-02 21:10:00 -0500,1,2.802,98.442
3648,25-07-02 21:15:00 -0500,1,2.759,99.069
3649,25-07-02 21:20:00 -0500,1,2.716,97.591
3650,25-07-02 21:25:00 -0500,1,2.63,98.105
3651,25-07-02 21:30:00 -0500,1,2.502,98.97
3652,25-07-02 21:35:00 -0500,1,2.523,99.472
3653,25-07-02 21:40:00 -0500,1,2.437,99.19
3654,25-07-02 21:45:00 -0500,1,2.545,98.506
3655,25-07-02 21:50:00 -0500,1,2.523,98.718
3656,25-07-02 21:55:00 -0500,1,2.351,98.988
3657,25-07-02 22:00:00 -0500,1,2.309,99.103
3658,25-07-02 22:05:00 -0500,1,2.437,98.341
3659,25-07-02 22:10:00 -0500,1,2.416,99.298
3660,25-07-02 22:15:00 -0500,1,2.03,99.931
3661,25-07-02 22:20:00 -0500,1,1.88,100
